id,name,category,price,stock,brand,rating,reviews,specs
1,Laptop Dell XPS 13,Electronics,1299.99,15,Dell,4.5,120,"{""cpu"":""Intel i7"",""ram"":""16GB"",""storage"":""512GB SSD""}"
2,iPhone 15 Pro,Electronics,999.99,25,Apple,4.8,300,"{""cpu"":""A17 Pro"",""ram"":""8GB"",""storage"":""256GB""}"
3,Nike Air Max,Footwear,129.99,50,Nike,4.2,85,"{""size"":""10"",""color"":""Black"",""material"":""Synthetic""}"
4,Samsung 4K TV 55",Electronics,699.99,10,Samsung,4.3,150,"{""resolution"":""4K UHD"",""size"":""55 inches"",""smart"":true}"
5,Adidas Ultraboost,Footwear,189.99,30,Adidas,4.6,200,"{""size"":""9"",""color"":""White"",""material"":""Mesh""}"
6,MacBook Pro 16",Electronics,2499.99,8,Apple,4.9,400,"{""cpu"":""M3 Max"",""ram"":""32GB"",""storage"":""1TB SSD""}"
7,Levi's Jeans,Clothing,79.99,40,Levi's,4.1,60,"{""size"":""32x32"",""color"":""Blue"",""material"":""Denim""}"
8,Sony WH-1000XM5,Electronics,349.99,20,Sony,4.7,250,"{""type"":""Over-ear"",""battery"":""30 hours"",""noise_canceling"":true}"
9,Puma Suede,Footwear,89.99,35,Puma,4.0,90,"{""size"":""11"",""color"":""Classic White"",""material"":""Suede""}"
10,LG Refrigerator,Appliances,1199.99,5,LG,4.4,75,"{""capacity"":""25 cu ft"",""type"":""French Door"",""energy_rating"":""A++""}"
11,H&M T-Shirt,Clothing,19.99,100,H&M,3.8,45,"{""size"":""M"",""color"":""Red"",""material"":""Cotton""}"
12,Canon EOS R5,Electronics,3899.99,3,Canon,4.8,180,"{""sensor"":""45MP"",""lens"":""RF mount"",""video"":""8K""}"
13,Under Armour Hoodie,Clothing,59.99,25,Under Armour,4.3,70,"{""size"":""L"",""color"":""Gray"",""material"":""Fleece""}"
14,Bose SoundLink,Electronics,199.99,18,Bose,4.5,130,"{""type"":""Portable"",""battery"":""12 hours"",""waterproof"":true}"
15,New Balance 574,Footwear,99.99,45,New Balance,4.4,110,"{""size"":""8"",""color"":""Navy"",""material"":""Suede/Leather""}"
16,Whirlpool Washer,Appliances,799.99,7,Whirlpool,4.2,95,"{""capacity"":""5.5 cu ft"",""type"":""Front Load"",""energy_rating"":""A+""}"
17,Zara Dress,Clothing,49.99,60,Zara,4.0,55,"{""size"":""S"",""color"":""Black"",""material"":""Polyester""}"
18,GoPro HERO10,Electronics,499.99,12,GoPro,4.6,220,"{""resolution"":""5.3K"",""fps"":""60"",""waterproof"":true}"
19,Reebok Classic,Footwear,79.99,55,Reebok,4.1,80,"{""size"":""10.5"",""color"":""White"",""material"":""Leather""}"
20,KitchenAid Mixer,Appliances,349.99,9,KitchenAid,4.7,160,"{""power"":""325W"",""capacity"":""5 qt"",""attachments"":5}"
21,Uniqlo Sweater,Clothing,39.99,80,Uniqlo,4.2,65,"{""size"":""XL"",""color"":""Navy"",""material"":""Wool Blend""}"
22,JBL Go 3,Electronics,39.99,40,JBL,4.0,100,"{""type"":""Portable"",""battery"":""5 hours"",""waterproof"":true}"
23,Converse Chuck Taylor,Footwear,59.99,70,Converse,4.3,140,"{""size"":""9"",""color"":""Black"",""material"":""Canvas""}"
24,Dyson Vacuum,Appliances,599.99,6,Dyson,4.8,300,"{""type"":""Cordless"",""battery"":""60 minutes"",""filtration"":""HEPA""}"
25,Gap Jeans,Clothing,69.99,50,Gap,3.9,50,"{""size"":""34x30"",""color"":""Dark Wash"",""material"":""Denim""}"
26,Anker Power Bank,Electronics,49.99,30,Anker,4.4,120,"{""capacity"":""20000mAh"",""ports"":""2 USB"",""fast_charge"":true}"
27,Vans Old Skool,Footwear,69.99,65,Vans,4.5,170,"{""size"":""8.5"",""color"":""Checkerboard"",""material"":""Canvas""}"
28,Instant Pot,Appliances,99.99,15,Instant Pot,4.6,250,"{""capacity"":""6 qt"",""functions"":""7-in-1"",""pressure_cooker"":true}"
29,Old Navy T-Shirt,Clothing,14.99,120,Old Navy,3.7,40,"{""size"":""L"",""color"":""Blue"",""material"":""Cotton""}"
30,Roku Streaming Stick,Electronics,49.99,22,Roku,4.2,90,"{""resolution"":""4K"",""voice_remote"":true,""apps"":500000}"
31,Skechers Go Walk,Footwear,79.99,40,Skechers,4.3,105,"{""size"":""7"",""color"":""Gray"",""material"":""Mesh""}"
32,Cuisinart Coffee Maker,Appliances,149.99,11,Cuisinart,4.4,85,"{""capacity"":""12 cups"",""programmable"":true,""thermal"":true}"
33,Banana Republic Blazer,Clothing,199.99,20,Banana Republic,4.5,75,"{""size"":""42"",""color"":""Navy"",""material"":""Wool""}"
34,Fitbit Charge 5,Electronics,149.99,16,Fitbit,4.3,140,"{""battery"":""7 days"",""gps"":true,""heart_rate"":true}"
35,Crocs Classic,Footwear,39.99,90,Crocs,4.0,200,"{""size"":""M"",""color"":""Pink"",""material"":""Croslite""}"
36,Breville Blender,Appliances,249.99,8,Breville,4.7,180,"{""power"":""1800W"",""capacity"":""72 oz"",""speeds"":5}"
37,Tommy Hilfiger Polo,Clothing,49.99,35,Tommy Hilfiger,4.1,60,"{""size"":""M"",""color"":""White"",""material"":""Cotton""}"
38,Logitech MX Master 3,Electronics,99.99,14,Logitech,4.6,210,"{""dpi"":4000,""battery"":""70 days"",""buttons"":7}"
39,Dr. Martens Boots,Footwear,149.99,25,Dr. Martens,4.4,125,"{""size"":""9"",""color"":""Black"",""material"":""Leather""}"
40,Ninja Air Fryer,Appliances,129.99,13,Ninja,4.5,190,"{""capacity"":""4 qt"",""temperature"":""400°F"",""digital"":true}"
41,Calvin Klein Underwear,Clothing,29.99,75,Calvin Klein,4.2,70,"{""size"":""M"",""color"":""Black"",""material"":""Cotton""}"
42,Ring Doorbell,Electronics,179.99,19,Ring,4.3,160,"{""resolution"":""1080p"",""night_vision"":true,""motion_detection"":true}"
43,Timberland Boots,Footwear,199.99,18,Timberland,4.5,135,"{""size"":""10"",""color"":""Brown"",""material"":""Leather""}"
44,Hamilton Beach Toaster,Appliances,39.99,28,Hamilton Beach,4.1,55,"{""slots"":4,""functions"":""Toast/Bagel"",""auto_shutoff"":true}"
45,Ralph Lauren Sweater,Clothing,129.99,15,Ralph Lauren,4.4,80,"{""size"":""L"",""color"":""Cream"",""material"":""Cashmere""}"
46,Apple Watch Series 9,Electronics,399.99,10,Apple,4.7,280,"{""display"":""Always-On"",""health"":""ECG"",""battery"":""18 hours""}"
47,ASICS Running Shoes,Footwear,119.99,32,ASICS,4.6,150,"{""size"":""9.5"",""color"":""Blue"",""material"":""Mesh""}"
48,Oster Blender,Appliances,79.99,17,Oster,4.2,95,"{""power"":""700W"",""capacity"":""6 cups"",""speeds"":3}"
49,Hugo Boss Suit,Clothing,599.99,5,Hugo Boss,4.8,40,"{""size"":""42R"",""color"":""Charcoal"",""material"":""Wool""}"
50,Eufy Robot Vacuum,Appliances,299.99,12,Eufy,4.4,175,"{""battery"":""100 minutes"",""app_control"":true,""mapping"":true}"